,Unnamed: 0,Index,Frame,Success,Goblin Death,Player Hurt,Player Attacking,Player Moving,Threshbuffer,Type
203,7,92,22064,0,2,4,3,1,[0.5356 0.5196 0.5166 0.4648 0.3834 0.3733 0.4016 0.399 ],1
204,8,93,23418,0,2,4,3,1,[0.6018 0.6174 0.6199 0.6041 0.5438 0.5235 0.5151 0.5069],1
205,9,94,24772,0,2,4,3,1,[0.3713 0.409  0.4091 0.3991 0.4004 0.3964 0.4844 0.441 ],1
206,10,95,26124,0,2,4,3,1,[0.1791 0.1647 0.1682 0.1696 0.1579 0.1725 0.1497 0.1479],1
207,11,96,27421,0,2,4,3,1,[0.2868 0.2801 0.2513 0.1797 0.1968 0.23   0.248  0.2323],1
208,12,97,28780,0,2,4,3,1,[0.3356 0.366  0.4078 0.4451 0.454  0.4968 0.5511 0.5456],1
209,13,98,30094,0,2,4,3,1,[0.279  0.2605 0.2741 0.2534 0.3071 0.333  0.3528 0.35  ],1
210,14,99,31465,0,2,4,3,1,[0.4474 0.335  0.3016 0.303  0.3153 0.3258 0.3271 0.4038],1
211,15,100,32835,0,2,4,3,1,[0.4255 0.4343 0.4545 0.4647 0.4918 0.4996 0.5093 0.5552],1
212,16,101,34205,0,2,4,3,1,[0.5224 0.5757 0.5724 0.5391 0.5591 0.377  0.3279 0.2916],1
213,17,102,35574,0,2,4,3,1,[0.2018 0.1892 0.2133 0.2254 0.207  0.1952 0.1927 0.1746],1
214,18,106,36389,1,2,4,3,1,[0.6374 0.6893 0.6993 0.6765 0.6942 0.7194 0.7234 0.7195],1
215,19,173,40733,1,3,5,4,5,[0.6267 0.6409 0.6861 0.7182 0.7319 0.7547 0.7803 0.7729],1
216,20,196,42829,0,3,6,5,5,[0.3898 0.3943 0.3998 0.4092 0.4252 0.4603 0.4807 0.5065],1
217,21,204,43443,1,3,6,5,5,[0.6197 0.6421 0.6492 0.6483 0.6604 0.6729 0.6823 0.7376],1
218,22,232,45370,1,4,7,6,6,[0.6253 0.6707 0.6857 0.6671 0.6549 0.6585 0.6841 0.6764],1
219,23,269,47599,1,5,8,7,9,[0.567  0.6482 0.6856 0.7277 0.7481 0.7866 0.7551 0.7616],1
220,0,185,40562,0,0,1,0,18,[0.1535 0.1402 0.1459 0.1281 0.1331 0.1159 0.1221 0.1425],0
221,1,186,42083,0,0,1,0,18,[0.2265 0.2259 0.2133 0.2067 0.225  0.2312 0.2179 0.2055],0
